epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0743,2.26448,3.97055,1.73391,0.01373,0.5,0.03472,0.02024,1.47563,3.73028,1.15933,0,0,0
2,19.8211,2.3619,4.0548,1.83673,0.01373,0.5,0.03472,0.02024,1.47563,3.73028,1.15933,0.000293001,0.000293001,0.000293001
3,29.4631,1.94821,4.12304,1.55905,0.01373,0.5,0.03472,0.02024,1.47563,3.73028,1.15933,0.000566004,0.000566004,0.000566004
4,39.4821,2.07656,4.05892,1.66619,0.01578,0.66667,0.55278,0.30956,1.67811,3.56834,1.33379,0.000819009,0.000819009,0.000819009
5,49.6546,1.32707,3.20005,1.24368,0.01578,0.66667,0.55278,0.30956,1.67811,3.56834,1.33379,0.000789012,0.000789012,0.000789012
6,59.2146,1.25538,3.21025,1.21473,0.01578,0.66667,0.55278,0.30956,1.67811,3.56834,1.33379,0.000759015,0.000759015,0.000759015
7,69.7504,1.25276,3.24496,1.22295,0.01671,0.66667,0.4975,0.38142,0.89557,3.36837,1.08869,0.000729018,0.000729018,0.000729018
8,81.5134,0.97814,2.62158,1.13157,0.01671,0.66667,0.4975,0.38142,0.89557,3.36837,1.08869,0.000699021,0.000699021,0.000699021
9,108.148,1.00662,2.70199,1.12683,0.01671,0.66667,0.4975,0.38142,0.89557,3.36837,1.08869,0.000669024,0.000669024,0.000669024
10,124.198,1.00609,2.53506,1.08754,0.01779,0.66667,0.4975,0.41458,0.7969,3.04343,1.10789,0.000639027,0.000639027,0.000639027
11,148.722,1.05333,1.95882,1.17656,0.01779,0.66667,0.4975,0.41458,0.7969,3.04343,1.10789,0.00060903,0.00060903,0.00060903
12,172.622,1.19321,1.90469,1.20548,0.01779,0.66667,0.4975,0.41458,0.7969,3.04343,1.10789,0.000579033,0.000579033,0.000579033
13,192.065,1.08496,2.09681,1.21386,0.01775,0.66667,0.66333,0.597,0.84137,2.71724,1.2177,0.000549036,0.000549036,0.000549036
14,220.572,0.97714,1.92476,1.17443,0.01775,0.66667,0.66333,0.597,0.84137,2.71724,1.2177,0.000519039,0.000519039,0.000519039
15,231.962,0.99437,1.70104,1.16841,0.01775,0.66667,0.66333,0.597,0.84137,2.71724,1.2177,0.000489042,0.000489042,0.000489042
16,242.869,0.94972,1.77518,1.16376,0.95697,0.33333,0.66333,0.597,0.8428,2.435,1.17901,0.000459045,0.000459045,0.000459045
17,253.235,0.90577,1.56201,1.13045,0.95697,0.33333,0.66333,0.597,0.8428,2.435,1.17901,0.000429048,0.000429048,0.000429048
18,263.334,0.86629,1.60618,1.08571,0.95697,0.33333,0.66333,0.597,0.8428,2.435,1.17901,0.000399051,0.000399051,0.000399051
19,273.195,0.82538,1.63084,1.1139,0.93971,0.66667,0.66333,0.597,0.76602,2.28282,1.07995,0.000369054,0.000369054,0.000369054
20,283.782,0.7135,1.55212,1.01775,0.93971,0.66667,0.66333,0.597,0.76602,2.28282,1.07995,0.000339057,0.000339057,0.000339057
21,293.253,0.87633,1.75171,1.14148,0.93971,0.66667,0.66333,0.597,0.76602,2.28282,1.07995,0.00030906,0.00030906,0.00030906
22,302.908,0.97973,2.0908,1.15461,0.9328,0.66667,0.66333,0.56383,0.83441,2.23988,1.06142,0.000279063,0.000279063,0.000279063
23,311.885,0.72556,1.66783,1.02815,0.9328,0.66667,0.66333,0.56383,0.83441,2.23988,1.06142,0.000249066,0.000249066,0.000249066
24,320.939,0.79806,1.67661,1.04519,0.9328,0.66667,0.66333,0.56383,0.83441,2.23988,1.06142,0.000219069,0.000219069,0.000219069
25,330.036,0.74147,1.73811,1.05139,0.91969,0.66667,0.66333,0.52225,0.88291,2.20734,1.08422,0.000189072,0.000189072,0.000189072
26,338.901,0.78763,1.63241,1.03977,0.91969,0.66667,0.66333,0.52225,0.88291,2.20734,1.08422,0.000159075,0.000159075,0.000159075
27,348.102,0.71299,1.56618,1.03649,0.91969,0.66667,0.66333,0.52225,0.88291,2.20734,1.08422,0.000129078,0.000129078,0.000129078
28,358.424,0.71631,1.53097,1.04318,0.91606,0.66667,0.66333,0.53892,0.88196,2.184,1.07957,9.9081e-05,9.9081e-05,9.9081e-05
29,367.531,0.70715,1.60781,1.01714,0.91606,0.66667,0.66333,0.53892,0.88196,2.184,1.07957,6.9084e-05,6.9084e-05,6.9084e-05
30,377.332,0.65094,1.39822,1.01658,0.91606,0.66667,0.66333,0.53892,0.88196,2.184,1.07957,3.9087e-05,3.9087e-05,3.9087e-05
