epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.1454,3.96404,6.56275,2.63453,0,0,0,0,4.20293,6.39448,2.57614,0,0,0
2,49.5631,3.90949,6.5129,2.40724,0,0,0,0,4.20293,6.39448,2.57614,0.000358112,0.000358112,0.000358112
3,74.3392,3.93845,6.95379,2.72134,0,0,0,0,4.20293,6.39448,2.57614,0.000691783,0.000691783,0.000691783
4,98.0714,4.04413,6.84094,2.48977,0,0,0,0,3.47928,12.2018,2.01499,0.00100101,0.00100101,0.00100101
5,119.552,3.09668,30.6842,1.89386,0,0,0,0,3.47928,12.2018,2.01499,0.000964348,0.000964348,0.000964348
6,141.217,3.08672,30.8228,1.93742,0,0,0,0,3.47928,12.2018,2.01499,0.000927685,0.000927685,0.000927685
7,163.685,3.16389,31.9274,2.01472,0.00087,0.0625,0.00012,2e-05,3.48891,15.3416,2.07304,0.000891022,0.000891022,0.000891022
8,185.646,2.89253,6.04198,1.69251,0.00087,0.0625,0.00012,2e-05,3.48891,15.3416,2.07304,0.000854359,0.000854359,0.000854359
9,207.907,2.82314,5.87977,1.68615,0.00087,0.0625,0.00012,2e-05,3.48891,15.3416,2.07304,0.000817696,0.000817696,0.000817696
10,229.774,2.88149,6.74991,1.69886,0,0,0,0,2.44525,60.9256,1.54032,0.000781033,0.000781033,0.000781033
11,250.612,2.36098,4.28421,1.41623,0,0,0,0,2.44525,60.9256,1.54032,0.00074437,0.00074437,0.00074437
12,274.305,2.60378,4.27892,1.43181,0,0,0,0,2.44525,60.9256,1.54032,0.000707707,0.000707707,0.000707707
13,295.693,2.25203,4.27341,1.47049,0.77477,0.1875,0.19358,0.03943,2.25595,12.7283,1.36751,0.000671044,0.000671044,0.000671044
14,317.101,1.80792,3.21215,1.23695,0.77477,0.1875,0.19358,0.03943,2.25595,12.7283,1.36751,0.000634381,0.000634381,0.000634381
15,337.77,2.04741,3.51547,1.24261,0.77477,0.1875,0.19358,0.03943,2.25595,12.7283,1.36751,0.000597718,0.000597718,0.000597718
16,366.226,1.84461,3.21643,1.23929,0.57365,0.25,0.15829,0.05534,2.0123,10.1738,1.28543,0.000561055,0.000561055,0.000561055
17,392.157,1.85237,2.67981,1.21463,0.57365,0.25,0.15829,0.05534,2.0123,10.1738,1.28543,0.000524392,0.000524392,0.000524392
18,417.398,1.82697,2.69794,1.19139,0.57365,0.25,0.15829,0.05534,2.0123,10.1738,1.28543,0.000487729,0.000487729,0.000487729
19,442.464,1.70042,2.62659,1.1919,0.55368,0.25,0.10616,0.04001,1.84509,17.3182,1.17696,0.000451066,0.000451066,0.000451066
20,466.524,1.69184,2.38064,1.13665,0.55368,0.25,0.10616,0.04001,1.84509,17.3182,1.17696,0.000414403,0.000414403,0.000414403
21,490.397,1.49591,3.19871,1.21572,0.55368,0.25,0.10616,0.04001,1.84509,17.3182,1.17696,0.00037774,0.00037774,0.00037774
22,515.718,1.48119,3.03581,1.21424,0.11615,0.875,0.14899,0.07312,1.5748,16.5698,1.06371,0.000341077,0.000341077,0.000341077
23,539.699,1.72672,2.64672,1.08521,0.11615,0.875,0.14899,0.07312,1.5748,16.5698,1.06371,0.000304414,0.000304414,0.000304414
24,564.623,1.34142,2.50687,1.06282,0.11615,0.875,0.14899,0.07312,1.5748,16.5698,1.06371,0.000267751,0.000267751,0.000267751
25,588.563,1.29061,2.4786,1.20279,0.18378,0.75,0.22643,0.10945,1.39871,29.4916,1.00978,0.000231088,0.000231088,0.000231088
26,614.719,1.23751,2.34657,1.10901,0.18378,0.75,0.22643,0.10945,1.39871,29.4916,1.00978,0.000194425,0.000194425,0.000194425
27,637.71,1.19038,2.33142,1.11298,0.18378,0.75,0.22643,0.10945,1.39871,29.4916,1.00978,0.000157762,0.000157762,0.000157762
28,661.214,1.17802,2.2903,1.10581,0.51455,0.875,0.58025,0.3122,1.30754,21.0412,0.98205,0.000121099,0.000121099,0.000121099
29,685.005,1.0335,2.12882,1.07892,0.51455,0.875,0.58025,0.3122,1.30754,21.0412,0.98205,8.4436e-05,8.4436e-05,8.4436e-05
30,708.058,1.14026,2.19856,1.0764,0.51455,0.875,0.58025,0.3122,1.30754,21.0412,0.98205,4.7773e-05,4.7773e-05,4.7773e-05
